time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1771457612.9034786,78,24,15,4,0,0,20.7700390625,314501,34.13909495525352,1003.0143315185486,85.56959886600653
1771457613.9156313,78,24,15,4,0,0,20.7501171875,317091,34.20594911891071,1003.0255892667863,85.47509712341082
1771457614.9277492,78,24,16,4,0,0,20.7409375,316512,34.2680860604577,1003.0306691987827,85.43245455847456
1771457615.939595,78,24,16,4,0,0,20.7372265625,318256,34.28492625364503,1003.0300998244714,85.43723405883824
1771457616.9515657,78,24,16,4,0,0,20.7204296875,316801,34.208961338240606,1002.9992807467103,85.69594200674035
1771457617.9647233,72,22,16,3,0,0,20.700703125,316801,34.24723008186663,1002.987284489964,85.79664523427938
1771457618.9768512,72,22,16,3,0,0,20.675703125,316223,34.262120757130425,1002.9685622654861,85.95381191129333
1771457619.9889414,72,22,16,3,0,0,20.6485546875,314216,34.29399407793064,1002.9499855454592,86.10975947605803
1771457621.0011346,63,21,13,2,0,0,20.6071484375,317091,34.324567467347876,1002.9318852705153,86.26170963654512
1771457622.0132325,63,21,13,2,0,0,20.563203125,318549,34.343456341806096,1002.9151057010262,86.40257457829405
1771457623.025391,63,21,13,2,0,0,20.5153515625,317964,34.41354883781913,1002.9119291639494,86.42924190818219
1771457624.0374064,63,21,14,2,0,0,20.4719921875,318549,34.50127542839752,1002.9105808963976,86.44056076276826
1771457625.0495422,63,21,14,2,0,0,20.431171875,320020,34.531928544012,1002.9060883027956,86.47827666976148
1771457626.0616913,63,21,14,2,0,0,20.392890625,319430,34.55708394489594,1002.9020770212302,86.51195201527545
1771457627.073399,60,20,11,1,0,0,20.3536328125,320612,34.628038872731096,1002.9037251784798,86.49811546032757
1771457628.0854423,60,20,11,1,0,0,20.3096875,318256,34.69858863692454,1002.9086442634596,86.45681903112894
1771457629.0974798,60,20,11,1,0,0,20.27296875,318256,34.76982990947412,1002.9107667619002,86.4390004006736
1771457630.1096215,60,20,8,1,0,0,20.1969921875,321206,34.803017998773214,1002.9108802955158,86.43804727313174
1771457631.121726,60,20,8,1,0,0,20.1192578125,321803,34.84753346667266,1002.9117428295825,86.43080620498301
1771457632.1339517,60,20,8,1,0,0,20.039765625,324211,34.85168962728547,1002.9061087908003,86.47810466998706
1771457633.1459737,54,17,5,0,0,0,19.966328125,320315,34.90235146370772,1002.9138796661853,86.41286724890949
1771457634.158073,54,17,5,0,0,0,19.89484375,324819,34.958948471191505,1002.906685144668,86.47326609681748
1771457635.1700416,54,17,5,0,0,0,19.821015625,323002,35.01534169803103,1002.8992920183664,86.53533262056443
1771457636.1818783,45,14,4,0,0,0,19.75421875,321803,35.08964411345131,1002.8996515622607,86.5323141812587
1771457637.19386,45,14,4,0,0,0,19.6973828125,322401,35.26270541731681,1002.9179457424117,86.37873221954129
1771457638.2068093,45,14,4,0,0,0,19.6434765625,322401,35.26346050030624,1002.9210638606891,86.35255544754968
1771457639.2190437,48,15,4,0,0,0,19.5868359375,323908,35.31576450327881,1002.9251649683196,86.31812652697589
1771457640.231109,48,15,4,0,0,0,19.524140625,325735,35.39631094661635,1002.926673449038,86.30546281513615
1771457641.243216,48,15,4,0,0,0,19.46515625,328203,35.465710513911866,1002.926943597471,86.30319491777044
1771457642.2550168,81,24,4,0,0,0,19.4118359375,326964,35.53565987390346,1002.920099807082,86.36064872281148
