time,temp,gas,humidity,pressure,alt,stndr10,stndr25,stndr100,enviro10,enviro25,enviro100,p03um,p05um,p10um,p25um,p50um,p100um
1771462319.2047086,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.204801,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.204893,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2049856,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2050784,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2051709,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2052636,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2053561,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2054725,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.205567,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2056594,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2057533,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.205847,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2059405,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2060337,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2061267,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2062201,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2063127,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2064052,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2064974,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2065904,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2066836,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2067757,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2068677,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2069612,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2070544,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2071474,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2072399,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2073326,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2074249,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2075179,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2076108,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2077029,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2077954,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2078876,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2079797,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2080715,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2081635,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2082562,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2083492,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2084422,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2085345,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2087204,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.208824,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.208918,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2090106,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2091038,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2091966,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2092893,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2094066,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2095048,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.209598,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2096908,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2097836,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.209876,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.209968,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
