time,temp,gas,humidity,pressure,alt,stndr10,stndr25,stndr100,enviro10,enviro25,enviro100,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 25 14:35:21 2026,18.4063671875,139351,60.790641410568774,1008.5962964270299,38.81750769896431,0,0,0,0,0,0,111,27,6,1,0,0
Wed Feb 25 14:35:22 2026,18.4063671875,139235,60.78403634988133,1008.5945747999385,38.83189495865454,0,0,0,0,0,0,111,27,6,1,0,0
Wed Feb 25 14:35:23 2026,18.40578125,139235,60.78395031528106,1008.6004852418472,38.7825027760656,0,0,0,0,0,0,111,27,6,1,0,0
Wed Feb 25 14:35:24 2026,18.4051953125,140167,60.75084228532588,1008.6012307992855,38.776272343332614,0,0,0,0,0,0,111,27,5,1,0,0
Wed Feb 25 14:35:25 2026,18.4048046875,140050,60.7838069254485,1008.5971368407737,38.810484553007996,0,0,0,0,0,0,111,27,5,1,0,0
Wed Feb 25 14:35:26 2026,18.404609375,141470,60.750756286663766,1008.5933682410009,38.84197791869496,0,0,0,0,0,0,111,27,5,1,0,0
Wed Feb 25 14:35:27 2026,18.403828125,141589,60.76384974083133,1008.5937884459458,38.83846635297373,0,0,0,0,0,0,96,24,6,1,0,0
Wed Feb 25 14:35:28 2026,18.4036328125,141589,60.76382107030919,1008.5882982330536,38.884347018742645,0,0,0,0,0,0,96,24,6,1,0,0
Wed Feb 25 14:35:29 2026,18.4032421875,141709,60.74395189680186,1008.5824826734583,38.932946765628486,0,0,0,0,0,0,96,24,6,1,0,0
Wed Feb 25 14:35:30 2026,18.40421875,142432,60.74409521452478,1008.5806661875811,38.948126908293595,0,0,0,0,0,0,96,24,3,0,0,0
Wed Feb 25 14:35:31 2026,18.4036328125,142190,60.75721690559209,1008.5779685188573,38.970671025366514,0,0,0,0,0,0,96,24,3,0,0,0
Wed Feb 25 14:35:32 2026,18.4036328125,142675,60.744009223715906,1008.5796901376093,38.956283643561086,0,0,0,0,0,0,96,24,3,0,0,0
Wed Feb 25 14:35:33 2026,18.40421875,143900,60.7573029103562,1008.5858310493662,38.90496486980439,0,0,0,0,0,0,105,27,4,0,0,0
